,0
"Boston, MA 02108,",0.7393833081601962 -1.240148063327701
"Logan International Airport,Terminal B,Boston, MA 02228,",0.7393974261285156 -1.239461997088022
"29 Prince St,Boston, MA 02113,",0.7394282535351151 -1.240106819796125
"47 Massachusetts Ave,Boston, MA 02115,",0.7391682710350675 -1.2407162887709213
"1418 Commonwealth Ave,Brighton, MA 02135,",0.73914676421536 -1.2415886095670559
"407 Washington St,Brighton, MA 02135,",0.7391570154067213 -1.2418691616450035
"761 Boylston St,Boston, MA 02116,",0.7391558922873475 -1.240576622288189
"16 Fish Pier St W,Boston, MA 02210,",0.7391814151096642 -1.2398365607974415
"260 Longwood Ave,Boston, MA 02115,",0.7389461796330804 -1.2409764527852116
"26 Park Plz,Boston, MA 02116,",0.7391857496348615 -1.2403453661623
"750 Washington St,Boston, MA 02111,",0.7391702807817012 -1.2402666727569862
"53 State St,Boston, MA 02109,",0.7393192079814445 -1.2401398169909632
"300 Longwood Ave,Boston, MA 02115,",0.7389551754040234 -1.241004355019985
"209 Cambridge St,Boston, MA 02114,",0.7393675562197187 -1.2403211113216848
"100 Huntington Ave,Boston, MA 02115,",0.7391274512745218 -1.2405438572221414
"133 Brookline Ave,Boston, MA 02215,",0.7390950466189646 -1.240931467796406
"700 Atlantic Ave,South Station,Boston, MA 02110,",0.7392058148126069 -1.240127917336123
"101 Merrimac St,Boston, MA 02114,",0.7394121415281255 -1.2402365544827487
"660 Summer St,Boston, MA 02210,",0.7390890645029535 -1.239823180230731
"431 Boylston St,Boston, MA 02228,",0.7391953978149666 -1.2404313140286496
"75 Francis St,Brigham and Women's Hospital,Boston, MA 02115,",0.7389811621399427 -1.2411866445323585
"700 Atlantic Ave,Boston, MA 02111,",0.739170952733463 -1.2401356325640813
"838 Beacon St,Boston, MA 02215,",0.7391247111075963 -1.2409614237550224
"1 Seaport Ln,Boston, MA 02210,",0.7391558058935497 -1.2398795500022473
"45 Beach St,Boston, MA 02111,",0.7391939282477363 -1.2402219513128976
"42 Beach St,Boston, MA 02111,",0.7391973648010336 -1.2402243485226252
"58 Franklin St,Boston, MA 02110,",0.7392709339196637 -1.2401806576954604
"1 Ave De Lafayette,Boston, MA 02111,",0.7392331204887546 -1.2402275442204855
"10 Avery Street,Boston, MA 02111,",0.7392268626107215 -1.2402665217860058
"54 Harvard Ave,Allston, MA 02134,",0.7392473117609026 -1.2414694157964496
"312 Northern Ave,Boston, MA 02210,",0.7390994919725694 -1.2397403416684438
"550 Tremont St,Boston, MA 02116,",0.7390651159676223 -1.2404047064842032
"131 Dartmouth St,Boston, MA 02116,",0.7391166878290246 -1.2404699338016731
"84 Summer St,Boston, MA 02110,",0.7392374541412873 -1.2401723874527995
"255 Washington St,Boston, MA 02201,",0.7393088023284442 -1.2401727042300583
"359 Huntington Ave,Boston, MA 02115,",0.7389974591518331 -1.2407350554237035
"360 Longwood Ave,Boston, MA 02215,",0.7389803959404011 -1.2410415622929571
"665 Boylston St,Boston, MA 02116,",0.7391684743659254 -1.240533437606507
"1 Harborside Dr,Boston Logan International Airport,Boston, MA 02128,",0.7395155203416932 -1.2393943743061535
"182 Harvard Ave,Boston, MA 02134,",0.739189115502324 -1.2414486935022404
"Surface Rd & Beach St,Boston, MA 02111,",0.7391899113724629 -1.2401964895771047
"61 Brookline Ave,Boston, MA 02215,",0.7391196295814788 -1.2408869959344007
"112 Canal St,Boston, MA 02114,",0.739423631903256 -1.240212002936161
"13A Hudson St,Boston, MA 02111,",0.7391843690794232 -1.2402101301978739
"49 Franklin St,Boston, MA 02110,",0.7392665479072533 -1.240185946915758
"75 Spring St,Boston, MA 02132,",0.7379265059241878 -1.2420102462077527
"775 Commonwealth Ave,Boston, MA 02215,",0.739185904969165 -1.241062026278437
"62 Washington St,Brighton, MA 02135,",0.7390546108308542 -1.241645050024407
"284 Newbury St,Boston, MA 02115,",0.7391536748465329 -1.2406313924654457
"31 St James Ave,Boston, MA 02116,",0.7391871415349401 -1.2404092129243316
"867 Boylston St,Boston, MA 02116,",0.7391461297881766 -1.2406162316628986
"2 West St,Boston, MA 02111,",0.7392485020754523 -1.240242961586433
"539 Dudley St,Roxbury, MA 02119,",0.7386777069788862 -1.2404239181959444
"103 State St,Boston, MA 02109,",0.7393289155027442 -1.2401220111419342
"354 W Broadway,Boston, MA 02127,",0.7389622052462723 -1.240024608679704
"1504 Dorchester Ave,Boston, MA 02122,",0.7382871214909117 -1.2402125169356257
"111 Dartmouth St,Boston, MA 02116,",0.7391079044595643 -1.2404764159545152
"100 Hanover St,Boston Public Farmers Market,Boston, MA 02108,",0.7393705904746232 -1.2401441567521483
"632 Dorchester Ave,Boston, MA 02127,",0.7387913130778926 -1.2401506781748983
"1616 Commonwealth Ave,Brighton, MA 02135,",0.7390535540339922 -1.2416531239175266
"1035 Dorchester Ave,Boston, MA 02125,",0.7385648321728366 -1.2401522280272743
"433 Washington St,Brighton, MA 02135,",0.7391583409842882 -1.2418967282478737
"1041 Tremont St,Boston, MA 02120,",0.73893545894815 -1.2406559501206862
"1052 Dorchester Ave,Dorchester, MA 02125,",0.7385558498358412 -1.2401499381552956
"1759 Centre St,West Roxbury, MA 02132,",0.7380792588856515 -1.2417895781217707
"4541 Washington St,Roslindale, MA 02131,",0.7379197209567208 -1.2415545599386788
"1 Legends Way,Boston, MA 02114,",0.739442996331307 -1.2402349313265446
"553 Tremont St,Boston, MA 02116,",0.7390705963014734 -1.2404157264931004
"84 Harrison Ave,Boston, MA 02111,",0.7391848403183213 -1.2402308926346552
"10 Huntington Ave,Boston, MA 02116,",0.7391435702628284 -1.240512167278913
"776 Boylston St,Mandarin Oriental Hotel,Boston, MA 02199,",0.7391501728433889 -1.2405843977300066
"121 Brookline Ave,Boston, MA 02215,",0.7390985268054932 -1.2409158444816069
"1750 Washington St,Fl 1,Boston, MA 02118,",0.7389353690636936 -1.240498594725985
"54 Devonshire St,Boston, MA 02109,",0.7393159442157434 -1.240158586261739
"360 Harrison Ave,Boston, MA 02118,",0.7390754308635016 -1.2402655766902158
"259 Newbury St,Boston, MA 02116,",0.7391627531766373 -1.2406116650089107
"525 Tremont St,Boston, MA 02116,",0.739074974459902 -1.2403968961358003
"88 Sleeper St,Boston, MA 02210,",0.7392367568822511 -1.240009273344231
"241 A St,Boston, MA 02210,",0.7391104046437177 -1.2400527023720085
"15 Bosworth St,Boston, MA 02108,",0.7392943099870001 -1.240217598461743
"700 Commonwealth Ave,Boston, MA 02215,",0.7391590260260196 -1.2409596129759237
"1338 Boylston St,Boston, MA 02215,",0.7390694670734472 -1.240881780017931
"162 Columbus Ave,Boston, MA 02116,",0.7391565363138416 -1.2403937056739278
"49 Melcher St,Boston, MA 02210,",0.7391615811880445 -1.2400370214613439
"33 Batterymarch St,Boston, MA 02110,",0.7393001009894583 -1.2401029495285087
"3 Battery Wharf,Boston, MA 02109,",0.7394697417567644 -1.2400413254432794
"120 Spring St,West Roxbury, MA 02132,",0.7378878337912866 -1.242047000223806
"60 State St,Ste 33,Boston, MA 02109,",0.7393345406989233 -1.2401414785444114
