,0
"600 Hyde Park Ave,Roslindale, MA 02131,",0.737950305233868 -1.2412326060328809
"1143 Blue Hill Ave,Dorchester Center, MA 02124,",0.7380434569467053 -1.2407532330278632
"639 Tremont St,Boston, MA 02118,",0.7390353223246261 -1.2404709574372796
"79 Charles St,Boston, MA 02114,",0.7393167374678883 -1.2403910300841845
"449 Ruggles St,Boston, MA 02115,",0.7389506825825506 -1.2408152890820823
"1 Harborside Dr,Boston, MA 02128,",0.7394248867949882 -1.2395328312757141
"Boston, MA 02108,",0.7393833081601962 -1.240148063327701
"1348 Boylston St,Boston, MA 02115,",0.7390660462281136 -1.2408949581264481
"700 Atlantic Ave,Boston, MA 02111,",0.739170952733463 -1.2401356325640813
"655 E Broadway,Boston, MA 02127,",0.7389175274354151 -1.2398300760266057
"187 Wolcott Sq,Hyde Park, MA 02136,",0.7372013687438739 -1.2414667812219438
"74 Summer St,Boston, MA 02110,",0.7392404587255944 -1.2401786165329
"931 Dorchester Ave,Dorchester, MA 02125,",0.7386273254320337 -1.240152732427428
"1270 River Street,Hyde Park, MA 02136,",0.7375223915165164 -1.2413231380065108
"748 Gallivan Blvd,Dorchester, MA 02122,",0.7380307465864278 -1.2399524864390237
"522 River St,Mattapan, MA 02126,",0.737726690159444 -1.2408088278731915
"533 Washington St,Brighton, MA 02135,",0.7391559446472253 -1.2420045494530743
"1224 Dorchester Ave,Boston, MA 02125,",0.738451236545806 -1.2401704195940677
"522 River St,Boston, MA 02126,",0.737726690159444 -1.2408088278731915
"730 Blue Hill Ave,Dorchester, MA 02121,",0.7382963385746913 -1.240664261378584
"394 Geneva Ave,Dorchester, MA 02122,",0.7383220935257986 -1.2403426015607646
"682 Huntington Ave,Boston, MA 02115,",0.7389070563325675 -1.2409487788445919
"30 Rowes Wharf,Boston, MA 02110,",0.7392912608967969 -1.2400418027908298
"345 Congress St,Fort Point,Boston, MA 02210,",0.7391816786543812 -1.2400163733436285
"2254 Dorchester Ave,Dorchester Center, MA 02124,",0.7378358893020888 -1.2403390629057063
"82 Water St,Boston, MA 02109,",0.7393057183316559 -1.2401339683926398
"267 Bowdoin St,Boston, MA 02122,",0.7384128227216343 -1.2403193886817132
"513 Tremont St,Boston, MA 02116,",0.7390792583705511 -1.2403898537322686
"1920 Beacon St,Brighton, MA 02135,",0.738934724164535 -1.2417644750511396
"301 Adams St,Dorchester, MA 02122,",0.738284321110127 -1.2401753763291434
"111 Brighton Ave,Allston, MA 02134,",0.7392229120579596 -1.2414392818142492
"145 Dartmouth St,Ste 1,Boston, MA 02116,",0.7391254415278881 -1.240473702840193
"429 Faneuil St,Brighton, MA 02135,",0.7391899218444383 -1.2420983565370458
"950 Hyde Park Ave,Hyde Park, MA 02136,",0.7377219035939704 -1.2412640708286355
"1696 Commonwealth Ave,Boston, MA 02135,",0.7390183647056134 -1.2417189874075094
"239 Meridian St,Boston, MA 02128,",0.739621006825041 -1.2398411335600816
"851 Harrison Ave,Boston, MA 02118,",0.7389037707502509 -1.2404811178715203
"547 Washington St,Brighton, MA 02135,",0.7391602163405695 -1.24201753295738
"618 Shawmut Ave,Roxbury, MA 02118,",0.7389156258991949 -1.2405668336090794
"260 W Broadway,Boston, MA 02127,",0.7389844224149853 -1.2400587621551713
"1 Faneuil Hall Mrkt Pl,Boston, MA 02109,",0.7393478985763535 -1.2401174357613003
"4515 Washington St,Roslindale, MA 02131,",0.7379270975908042 -1.2415475280071224
"426 Belgrade Ave,West Roxbury, MA 02132,",0.7380525998539922 -1.2417718080519917
