,0
"686 Morton St,Boston, MA 02126,",5.22
"11 Thacher St,Boston, MA 02113,",4.66
"353 Cambridge St,Allston, MA 02134,",8.14
"11 1/2 Thacher St,Boston, MA 02113,",4.66
"1330 Boylston St,Boston, MA 02215,",7.77
"226 Faneuil Marketplace,Boston, MA 02109,",9.69
"371 Hanover St,Boston, MA 02113,",4.6
"1263 River St,Hyde Park, MA 02136,",9.51
"73 River St,Mattapan, MA 02126,",4.54
"347 Centre St,Jamaica Plain, MA 02130,",5.03
"568 Cambridge St,Allston, MA 02134,",8.39
"55 Causeway St,Boston, MA 02114,",5.59
"4249 Washington St,Roslindale, MA 02131,",6.84
"4168 Washington St,Roslindale, MA 02131,",6.71
"10 Walk Hill St,Jamaica Plain, MA 02130,",5.72
"258 Dudley St,Roxbury, MA 02119,",3.23
"198 Marion St,Boston, MA 02128,",7.58
"146 - 148 Belgrade Ave,Roslindale, MA 02131,",7.08
"85 Canal St,Boston, MA 02114,",4.91
"1443 Commonwealth Ave,Brighton, MA 02135,",8.7
"150 Tremont St,Boston, MA 02111,",3.85
"51 Brookline Ave,Boston, MA 02215,",7.58
"205 L St,Boston, MA 02127,",2.3
"662 Centre St,Jamaica Plain, MA 02130,",5.9
"356 Tremont St,Boston, MA 02116,",3.98
"111 Chelsea St,Boston, MA 02128,",7.52
"606 Congress St,Boston, MA 02210,",4.1
"1 Harborside Dr,East Boston, MA 02128,",6.46
"200 Logan Airport,Terminal E,Boston, MA 02128,",7.02
"256 Marginal St,Boston, MA 02128,",8.45
"580 Commonwealth Ave,Boston, MA 02215,",7.71
"319 Hanover St,Boston, MA 02113,",4.54
"122 Seaver St,Dorchester, MA 02121,",3.85
"237 Newbury St,Boston, MA 02116,",6.9
"764 E 4th St,Boston, MA 02127,",2.61
"772 Tremont St,Boston, MA 02118,",3.29
"1159 Washington St,Dorchester, MA 02124,",4.23
"140 Norfolk St,Dorchester, MA 02124,",3.42
"330 Belgrade Ave,Roslindale, MA 02131,",8.2
"612 Blue Hill Ave,Dorchester, MA 02121,",3.73
"863 Washington St,Boston, MA 02124,",4.1
"Boston, MA 02110,",4.78
"239 Dudley St,Roxbury, MA 02119,",3.23
"870 Blue Hill Ave,Dorchester Center, MA 02124,",3.79
"46 Washington St,Dorchester, MA 02121,",3.17
"313 Old Colony Ave,Boston, MA 02127,",1.86
